Measurement	Replication	Name	Count	Experiment	Module	
"""hops=4, cl=false"""	#1	packetSent:vector(packetBytes)	7115	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=false"""	#0	packetSent:vector(packetBytes)	7126	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=false"""	#0	packetReceived:vector(packetBytes)	21388	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=false"""	#15	packetSent:vector(packetBytes)	7127	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=false"""	#15	packetSent:vector(packetBytes)	7132	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=false"""	#15	packetReceived:vector(packetBytes)	21374	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=false"""	#15	packetSent:vector(packetBytes)	7117	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#4	packetReceived:vector(packetBytes)	1282	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#7	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#18	packetSent:vector(packetBytes)	7104	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#6	packetSent:vector(packetBytes)	429	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#4	packetSent:vector(packetBytes)	425	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#4	packetSent:vector(packetBytes)	429	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#6	packetReceived:vector(packetBytes)	1282	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#15	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#7	packetSent:vector(packetBytes)	7145	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#11	packetReceived:vector(packetBytes)	1276	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#11	packetSent:vector(packetBytes)	426	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#11	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#11	packetSent:vector(packetBytes)	425	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#19	packetSent:vector(packetBytes)	430	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#19	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#19	packetSent:vector(packetBytes)	426	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#19	packetReceived:vector(packetBytes)	1281	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#5	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#15	packetSent:vector(packetBytes)	428	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#7	packetSent:vector(packetBytes)	429	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#7	packetReceived:vector(packetBytes)	854	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#7	packetSent:vector(packetBytes)	425	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#16	packetSent:vector(packetBytes)	425	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#18	packetReceived:vector(packetBytes)	1277	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#18	packetSent:vector(packetBytes)	425	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#18	packetSent:vector(packetBytes)	423	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#5	packetSent:vector(packetBytes)	433	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#5	packetSent:vector(packetBytes)	7150	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#16	packetSent:vector(packetBytes)	426	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#13	packetSent:vector(packetBytes)	7139	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#13	packetSent:vector(packetBytes)	7127	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#13	packetSent:vector(packetBytes)	7100	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#19	packetSent:vector(packetBytes)	7148	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#19	packetSent:vector(packetBytes)	7109	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#19	packetReceived:vector(packetBytes)	21370	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#11	packetSent:vector(packetBytes)	7120	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#18	packetSent:vector(packetBytes)	7112	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#18	packetSent:vector(packetBytes)	7149	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#5	packetSent:vector(packetBytes)	7133	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#16	packetReceived:vector(packetBytes)	1277	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#5	packetSent:vector(packetBytes)	7126	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#5	packetReceived:vector(packetBytes)	14267	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#19	packetSent:vector(packetBytes)	7118	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#8	packetSent:vector(packetBytes)	7113	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#8	packetSent:vector(packetBytes)	7164	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#8	packetReceived:vector(packetBytes)	21408	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#8	packetSent:vector(packetBytes)	7131	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#0	packetSent:vector(packetBytes)	7109	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#0	packetReceived:vector(packetBytes)	14227	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#0	packetSent:vector(packetBytes)	7123	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#0	packetSent:vector(packetBytes)	7122	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#14	packetReceived:vector(packetBytes)	21327	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#10	packetSent:vector(packetBytes)	7118	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#10	packetSent:vector(packetBytes)	7153	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#10	packetSent:vector(packetBytes)	7133	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#5	packetReceived:vector(packetBytes)	1282	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#5	packetSent:vector(packetBytes)	423	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#18	packetSent:vector(packetBytes)	431	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#18	packetReceived:vector(packetBytes)	21364	SmokeAlarm	Branches.sink.app[0]	
