Measurement	Replication	Name	Count	Mean	Min	Max	Experiment	
"""hops=2, cl=true"""	#2	endToEndDelay:vector	21368	0.6194593448052382	0.024009156485	5.572662061407	SmokeAlarm	
"""hops=2, cl=true"""	#1	endToEndDelay:vector	21399	0.6392480287759984	0.053968279284	5.22712468173	SmokeAlarm	
"""hops=2, cl=true"""	#17	endToEndDelay:vector	21384	0.6009112789511569	0.053970532869	6.953340718142	SmokeAlarm	
"""hops=2, cl=true"""	#11	endToEndDelay:vector	1288	0.7672931128949504	0.06697498468	13.829080351042	HumidityMonitoring	
"""hops=2, cl=true"""	#5	endToEndDelay:vector	21327	0.5528968386508135	0.024050083318	4.952327433116	SmokeAlarm	
"""hops=2, cl=true"""	#12	endToEndDelay:vector	1284	0.8731101952928613	0.035885932031	4.866757365392	HumidityMonitoring	
"""hops=2, cl=true"""	#6	endToEndDelay:vector	1284	0.7187774517942997	0.075743450022	3.91619290694	HumidityMonitoring	
"""hops=2, cl=true"""	#18	endToEndDelay:vector	21370	0.5697275786251572	0.024021024827	6.435361441836	SmokeAlarm	
"""hops=2, cl=true"""	#16	endToEndDelay:vector	21321	0.6344765757270663	0.034384099682	7.495921203219	SmokeAlarm	
"""hops=2, cl=true"""	#11	endToEndDelay:vector	21415	0.5822542276884399	0.053936915366	2.929319822974	SmokeAlarm	
"""hops=2, cl=true"""	#0	endToEndDelay:vector	21380	0.5752663448464737	0.054012879812	4.910714597942	SmokeAlarm	
"""hops=3, cl=false"""	#15	endToEndDelay:vector	21397	0.8599344753792143	0.163979937757	6.374480375897	SmokeAlarm	
"""hops=3, cl=false"""	#3	endToEndDelay:vector	21399	0.8816489854436781	0.133958860782	4.651810885759	SmokeAlarm	
"""hops=3, cl=false"""	#7	endToEndDelay:vector	21405	1.0091174972064059	0.224148618117	5.248835824167	SmokeAlarm	
"""hops=3, cl=false"""	#5	endToEndDelay:vector	21383	0.7717317894707459	0.103994502901	17.144480357122	SmokeAlarm	
