Experiment	Measurement	Replication	Module	Name	Count	Mean	StdDev	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#3	Linear.sink[0].app[3]	endToEndDelay:vector	1500	0.6481110098620013	0.08306357869365143	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#7	Linear.sink[0].app[3]	endToEndDelay:vector	1500	0.9726104799196601	0.0906370630980861	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#9	Linear.sink[0].app[3]	endToEndDelay:vector	1500	1.1031127017129936	0.1456650035601832	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#6	Linear.sink[0].app[3]	endToEndDelay:vector	1500	0.7916886762553399	0.1438441505541397	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#4	Linear.sink[0].app[3]	endToEndDelay:vector	1500	0.8550070173976667	0.20918900540469962	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#1	Linear.sink[0].app[3]	endToEndDelay:vector	1500	0.8199115146776733	0.10744286823934773	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#5	Linear.sink[0].app[3]	endToEndDelay:vector	1500	0.7300469017820066	0.19936726194825216	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#0	Linear.sink[0].app[4]	endToEndDelay:vector	1500	1.1170906825633333	0.11847400396414436	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#1	Linear.sink[0].app[4]	endToEndDelay:vector	1501	1.0715146277640106	0.14064378232446811	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#8	Linear.sink[0].app[4]	endToEndDelay:vector	1500	0.9873625625853398	0.07208023443132443	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#3	Linear.sink[0].app[4]	endToEndDelay:vector	1500	0.8644776039313267	0.16246093538424217	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#5	Linear.sink[0].app[4]	endToEndDelay:vector	1500	1.0293832727773335	0.23364629581898502	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#7	Linear.sink[0].app[4]	endToEndDelay:vector	1500	1.20859292789066	0.15030974630894303	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#6	Linear.sink[0].app[4]	endToEndDelay:vector	1500	0.8437484450563201	0.09960151871631175	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#2	Linear.sink[0].app[4]	endToEndDelay:vector	1500	1.1720115112910068	0.10896496306351905	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#9	Linear.sink[0].app[4]	endToEndDelay:vector	1500	1.362723241001	0.1253353755765353	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#4	Linear.sink[0].app[4]	endToEndDelay:vector	1500	1.2208359160753335	0.13021083312432163	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#1	Linear.sink[0].app[5]	endToEndDelay:vector	1500	1.3556009057976732	0.20792112948485544	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#4	Linear.sink[0].app[5]	endToEndDelay:vector	1499	1.4443579678613678	0.21423580364121894	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#2	Linear.sink[0].app[5]	endToEndDelay:vector	1500	1.30433877801566	0.13100213049556822	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#9	Linear.sink[0].app[5]	endToEndDelay:vector	1501	1.4992872874964556	0.21277905140519504	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#7	Linear.sink[0].app[5]	endToEndDelay:vector	1500	1.3945718181770135	0.15564086583985046	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#0	Linear.sink[0].app[5]	endToEndDelay:vector	1500	1.4603789744563331	0.2571716547280285	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#6	Linear.sink[0].app[5]	endToEndDelay:vector	1500	1.2006934818310067	0.08843950529821114	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#3	Linear.sink[0].app[5]	endToEndDelay:vector	1500	1.0601396536973333	0.11357034283091703	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#8	Linear.sink[0].app[5]	endToEndDelay:vector	1500	1.3296979023229867	0.20030579457651665	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#5	Linear.sink[0].app[5]	endToEndDelay:vector	1500	1.2065027674143332	0.2095482366056363	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#6	Linear.sink[0].app[6]	endToEndDelay:vector	1500	1.2486083888800001	0.1652124889680304	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#9	Linear.sink[0].app[6]	endToEndDelay:vector	1499	1.8212078995378251	0.3546879484381527	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#7	Linear.sink[0].app[6]	endToEndDelay:vector	1500	1.8156981570000001	0.11730945261048381	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#0	Linear.sink[0].app[6]	endToEndDelay:vector	1500	1.7784159495066667	0.1915396316933598	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#4	Linear.sink[0].app[6]	endToEndDelay:vector	1500	1.6767151819179933	0.2872484895170696	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#3	Linear.sink[0].app[6]	endToEndDelay:vector	1500	1.2481922204429998	0.2552478819778195	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#5	Linear.sink[0].app[6]	endToEndDelay:vector	1500	1.3795375632883267	0.14908262577662038	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#1	Linear.sink[0].app[6]	endToEndDelay:vector	1500	1.7985853470273268	0.31520430103322433	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#8	Linear.sink[0].app[6]	endToEndDelay:vector	1500	1.6888402590143399	0.18500602794444573	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#2	Linear.sink[0].app[6]	endToEndDelay:vector	1500	1.6187397426779933	0.15817791723992175	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#6	Linear.sink[0].app[7]	endToEndDelay:vector	1501	1.5963603585252633	0.19377794068295182	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#1	Linear.sink[0].app[7]	endToEndDelay:vector	1500	2.117667010979653	0.21408610603253186	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#4	Linear.sink[0].app[7]	endToEndDelay:vector	1500	2.031850342530667	0.26343149886075967	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#9	Linear.sink[0].app[7]	endToEndDelay:vector	1500	2.3047644283846602	0.12284414900816283	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#2	Linear.sink[0].app[7]	endToEndDelay:vector	1500	1.691853935152667	0.19396501258292062	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#7	Linear.sink[0].app[7]	endToEndDelay:vector	1501	1.9623764547559428	0.3774255347591237	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#0	Linear.sink[0].app[7]	endToEndDelay:vector	1500	2.0533812549923267	0.15156973382448455	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#3	Linear.sink[0].app[7]	endToEndDelay:vector	1500	1.4587897683350002	0.20076631608859818	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#5	Linear.sink[0].app[7]	endToEndDelay:vector	1500	1.6314142103016602	0.27512989925344894	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#8	Linear.sink[0].app[7]	endToEndDelay:vector	1499	2.0175930695224618	0.25642806882633673	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#1	Linear.sink[0].app[8]	endToEndDelay:vector	1501	2.3386989614011724	0.30465104308072194	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#6	Linear.sink[0].app[8]	endToEndDelay:vector	1500	1.7361426232739998	0.18601212417537127	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#4	Linear.sink[0].app[8]	endToEndDelay:vector	1500	2.2630359743520065	0.39604748756722996	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#9	Linear.sink[0].app[8]	endToEndDelay:vector	1500	2.42700320161534	0.31930548458160335	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#7	Linear.sink[0].app[8]	endToEndDelay:vector	1500	2.2133047004993402	0.18971985374271158	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#0	Linear.sink[0].app[8]	endToEndDelay:vector	1500	2.3063147742356667	0.30351568515704247	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#2	Linear.sink[0].app[8]	endToEndDelay:vector	1500	2.134091500667327	0.21526202804029615	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#3	Linear.sink[0].app[8]	endToEndDelay:vector	1500	1.6903112274919998	0.31339130865670634	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#8	Linear.sink[0].app[8]	endToEndDelay:vector	1500	2.3101428867073333	0.2759315119525521	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#5	Linear.sink[0].app[8]	endToEndDelay:vector	1500	2.00102124104566	0.23220428874170113	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#6	Linear.sink[0].app[9]	endToEndDelay:vector	1500	2.2445029181776732	0.4421598544043018	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#1	Linear.sink[0].app[9]	endToEndDelay:vector	1500	2.8925493284460067	0.2195494886928194	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#4	Linear.sink[0].app[9]	endToEndDelay:vector	1499	2.451133578568072	0.4084390330415571	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#2	Linear.sink[0].app[9]	endToEndDelay:vector	1499	2.39299609042956	0.4156505012069467	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#9	Linear.sink[0].app[9]	endToEndDelay:vector	1500	2.7314085900313336	0.41910066913509286	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#7	Linear.sink[0].app[9]	endToEndDelay:vector	1500	2.578176046460333	0.2549812206890715	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#0	Linear.sink[0].app[9]	endToEndDelay:vector	1500	2.7356100106106664	0.2700981154141468	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#3	Linear.sink[0].app[9]	endToEndDelay:vector	1500	1.98736097181166	0.2975108341217862	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#5	Linear.sink[0].app[9]	endToEndDelay:vector	1500	2.1527325338506667	0.26179070406975913	
DelayTest_DD1	$l=1, $N=10, $queueRecPeriod=0.2	#8	Linear.sink[0].app[9]	endToEndDelay:vector	1500	2.668605537625	0.16823472951833907	

